-0.030000,-0.029000,0.270000,0.283000,0.0,0.5
15,0,0.000000,-0.029000,0.240000,0.029000,0.000000,0.040000
15,0,0.000000,0.225000,0.240000,0.283000,0.000000,0.040000
15,0,0.012000,0.045000,0.108000,0.065000,0.000000,0.040000
15,0,0.012000,0.189000,0.108000,0.209000,0.000000,0.040000
15,0,0.132000,0.045000,0.228000,0.065000,0.000000,0.040000
15,0,0.132000,0.189000,0.228000,0.209000,0.000000,0.040000
16,0,0.029000,-0.010000,0.049000,0.010000,0.040000,0.100000
16,0,0.029000,0.244000,0.049000,0.264000,0.040000,0.100000
16,0,0.050000,0.045000,0.070000,0.065000,0.040000,0.100000
16,0,0.050000,0.189000,0.070000,0.209000,0.040000,0.100000
16,0,0.083000,-0.010000,0.103000,0.010000,0.040000,0.100000
16,0,0.083000,0.244000,0.103000,0.264000,0.040000,0.100000
16,0,0.137000,-0.010000,0.157000,0.010000,0.040000,0.100000
16,0,0.137000,0.244000,0.157000,0.264000,0.040000,0.100000
16,0,0.170000,0.045000,0.190000,0.065000,0.040000,0.100000
16,0,0.170000,0.189000,0.190000,0.209000,0.040000,0.100000
16,0,0.191000,-0.010000,0.211000,0.010000,0.040000,0.100000
16,0,0.191000,0.244000,0.211000,0.264000,0.040000,0.100000
17,0,0.000000,-0.029000,0.240000,0.029000,0.100000,0.150000
17,0,0.000000,0.225000,0.240000,0.283000,0.100000,0.150000
17,0,0.000000,0.185500,0.108000,0.212500,0.100000,0.150000
17,0,0.012000,0.041500,0.108000,0.068500,0.100000,0.150000
17,0,0.132000,0.041500,0.240000,0.068500,0.100000,0.150000
17,0,0.132000,0.185500,0.228000,0.212500,0.100000,0.150000
18,0,0.050000,0.045000,0.070000,0.065000,0.150000,0.210000
18,0,0.170000,0.189000,0.190000,0.209000,0.150000,0.210000
19,0,0.012000,0.041500,0.160000,0.068500,0.210000,0.250000
19,0,0.080000,0.185500,0.228000,0.212500,0.210000,0.250000
714,0,0.109000,0.044000,0.131000,0.066000,0.250000,0.300000
714,0,0.109000,0.188000,0.131000,0.210000,0.250000,0.300000
177,0,0.080000,0.019000,0.160000,0.235000,0.300000,0.360000
